Species,Fork_Length_mm,Weight_g,Trial,Time_LOE,Temp_LOE
Masu,62,2.5,2,33.04,28.7
Masu,145,37.3,2,35,29.1
Masu,87,6.5,2,35.56,29.3
Masu,118,22.3,2,36.21,29.4
Masu,108,17.3,2,36.4,29.5
Masu,64,2.8,3,35.52,28.4
Masu,63,3,3,37.04,28.7
Masu,72,5,3,37.39,28.9
Masu,67,2.9,3,38.52,29.2
Masu,52,1.6,4,42.16,28.6
Masu,126,31.6,4,43.38,28.9
Masu,139,40.9,4,44.04,29
Masu,59,2.6,4,44.26,29.2
Masu,72,4.9,4,44.45,29.3
Masu,71,4.4,5,32.26,28.4
Masu,63,2.7,5,33.13,28.7
Masu,64,3,5,34.18,28.9
Masu,71,4.3,5,35.22,29.3
Masu,151,49.2,5,37.46,30
Masu,65,3.3,6,26.43,27.9
Masu,69,4.4,6,28.02,28.2
Masu,72,5,6,28.15,28.3
Masu,111,17.9,6,28.23,28.3
Masu,126,29.5,6,29.17,28.5
Masu,107,17.9,6,29.26,28.6
Masu,121,25.6,6,29.46,28.7
Masu,125,24.9,7,37.21,29.2
Masu,153,51.5,7,37.53,29.4
Masu,119,22.8,7,38.19,29.4
Masu,126,27.8,7,39.32,29.8
Masu,108,16.8,8,35.12,29.2
Masu,57,1.6,8,35.2,29.2
Masu,57,2,8,35.26,29.3
Masu,61,2.4,8,36.03,29.4
Masu,70,3.7,8,36.5,29.6
Masu,68,3.4,8,37.05,29.7
Masu,73,4.9,9,30.22,29.2
Masu,112,17.4,9,31.31,29.4
Masu,100,13.1,10,32.08,28.2
Masu,74,4.3,10,33.5,28.7
Masu,105,15.8,10,34.23,28.9
Masu,54,1.2,10,35.17,29.1
Masu,163,54.7,10,37.39,29.7
Masu,104,16.5,11,33.36,28.9
Masu,150,46.5,11,33.54,29
Masu,57,2.1,11,36.14,29.6
Ito,72,3.7,2,32.24,28.4
Ito,70,3.5,2,36.27,29.4
Ito,168,50,3,38.34,29.1
Ito,94,8.6,4,46.36,29.6
Ito,96,9.2,4,46.42,29.6
Ito,78,4.6,5,34.22,29
Ito,92,7.4,5,34.35,29.1
Ito,127,20.7,5,36.05,29.6
Ito,147,36.7,6,32.2,29.4
Ito,169,50.4,7,37.42,29.4
Ito,69,4.4,7,39.12,29.6
Ito,82,5.6,8,36.29,29.5
Ito,104,11,9,31.43,29.5
Ito,119,17,9,33.56,30
Ito,77,4.2,10,37.07,29.6
Ito,97,8.6,10,37.12,29.6
Ito,85,6,10,37.21,29.6
Ito,68,3,11,35.44,29.5
Ito,100,10,11,35.56,29.5
Ito,95,8.6,11,37,29.8
Ito,104,11.1,11,37.18,29.9
Ito,75,4.1,11,37.09,29.8
Char,116,16.3,3,38.09,29
Char,195,87.2,3,38.17,29.1
Rainbow,,,,,
Brown,,,,,
